,Generation_number,Fitness,P_insert,P_reloc,Elit_prop,Nr_offsprings,Min_area,Max_area
70,70.0,0.8808925025581978,0.1,0.8,0.2,100.0,1000.0,2000.0
71,71.0,0.8813107499679785,0.1,0.8,0.2,100.0,1000.0,2000.0
72,72.0,0.8813107499679785,0.1,0.8,0.2,100.0,1000.0,2000.0
73,73.0,0.8818695299680952,0.1,0.8,0.2,100.0,1000.0,2000.0
74,74.0,0.882113119287388,0.1,0.8,0.2,100.0,1000.0,2000.0
75,75.0,0.882113119287388,0.1,0.8,0.2,100.0,1000.0,2000.0
76,76.0,0.8826630491428952,0.1,0.8,0.2,100.0,1000.0,2000.0
77,77.0,0.8826630491428952,0.1,0.8,0.2,100.0,1000.0,2000.0
78,78.0,0.8826630491428952,0.1,0.8,0.2,100.0,1000.0,2000.0
79,79.0,0.8831648525514978,0.1,0.8,0.2,100.0,1000.0,2000.0
80,80.0,0.8834999321493187,0.1,0.8,0.2,100.0,1000.0,2000.0
81,81.0,0.8834999321493187,0.1,0.8,0.2,100.0,1000.0,2000.0
82,82.0,0.8837335783405986,0.1,0.8,0.2,100.0,1000.0,2000.0
83,83.0,0.8837719543972226,0.1,0.8,0.2,100.0,1000.0,2000.0
84,84.0,0.8843817811679591,0.1,0.8,0.2,100.0,1000.0,2000.0
85,85.0,0.8843817811679591,0.1,0.8,0.2,100.0,1000.0,2000.0
86,86.0,0.8843817811679591,0.1,0.8,0.2,100.0,1000.0,2000.0
87,87.0,0.8847043033627631,0.1,0.8,0.2,100.0,1000.0,2000.0
88,88.0,0.8847043033627631,0.1,0.8,0.2,100.0,1000.0,2000.0
89,89.0,0.8847043033627631,0.1,0.8,0.2,100.0,1000.0,2000.0
90,90.0,0.8847312905283888,0.1,0.8,0.2,100.0,1000.0,2000.0
91,91.0,0.8848010868893729,0.1,0.8,0.2,100.0,1000.0,2000.0
92,92.0,0.8848077818220301,0.1,0.8,0.2,100.0,1000.0,2000.0
93,93.0,0.8850674396167056,0.1,0.8,0.2,100.0,1000.0,2000.0
94,94.0,0.88512598230255,0.1,0.8,0.2,100.0,1000.0,2000.0
95,95.0,0.8849391503096026,0.1,0.8,0.2,100.0,1000.0,2000.0
96,96.0,0.8849391503096026,0.1,0.8,0.2,100.0,1000.0,2000.0
97,97.0,0.8852004888165396,0.1,0.8,0.2,100.0,1000.0,2000.0
98,98.0,0.8853634543980398,0.1,0.8,0.2,100.0,1000.0,2000.0
99,99.0,0.8853634543980398,0.1,0.8,0.2,100.0,1000.0,2000.0
100,100.0,0.8853634543980398,0.1,0.8,0.2,100.0,1000.0,2000.0
101,101.0,0.8855970888398754,0.1,0.8,0.2,100.0,1000.0,2000.0
102,102.0,0.8857077688207992,0.1,0.8,0.2,100.0,1000.0,2000.0
103,103.0,0.8861880921629995,0.1,0.8,0.2,100.0,1000.0,2000.0
104,104.0,0.8863435207628855,0.1,0.8,0.2,100.0,1000.0,2000.0
105,105.0,0.8863435207628855,0.1,0.8,0.2,100.0,1000.0,2000.0
106,106.0,0.8863435207628855,0.1,0.8,0.2,100.0,1000.0,2000.0
107,107.0,0.8864919254248425,0.1,0.8,0.2,100.0,1000.0,2000.0
108,108.0,0.8864919254248425,0.1,0.8,0.2,100.0,1000.0,2000.0
109,109.0,0.8865635017494802,0.1,0.8,0.2,100.0,1000.0,2000.0
110,110.0,0.8865635017494802,0.1,0.8,0.2,100.0,1000.0,2000.0
111,111.0,0.8865635017494802,0.1,0.8,0.2,100.0,1000.0,2000.0
112,112.0,0.8866286810139139,0.1,0.8,0.2,100.0,1000.0,2000.0
113,113.0,0.8866286810139139,0.1,0.8,0.2,100.0,1000.0,2000.0
114,114.0,0.8868150188698131,0.1,0.8,0.2,100.0,1000.0,2000.0
115,115.0,0.8868150188698131,0.1,0.8,0.2,100.0,1000.0,2000.0
116,116.0,0.8868150188698131,0.1,0.8,0.2,100.0,1000.0,2000.0
117,117.0,0.887326704450927,0.1,0.8,0.2,100.0,1000.0,2000.0
118,118.0,0.887326704450927,0.1,0.8,0.2,100.0,1000.0,2000.0
119,119.0,0.8874048296704227,0.1,0.8,0.2,100.0,1000.0,2000.0
120,120.0,0.8878355622400673,0.1,0.8,0.2,100.0,1000.0,2000.0
121,121.0,0.8878355622400673,0.1,0.8,0.2,100.0,1000.0,2000.0
122,122.0,0.8878355622400673,0.1,0.8,0.2,100.0,1000.0,2000.0
123,123.0,0.8878596171446069,0.1,0.8,0.2,100.0,1000.0,2000.0
124,124.0,0.8878596171446069,0.1,0.8,0.2,100.0,1000.0,2000.0
125,125.0,0.8881780828640404,0.1,0.8,0.2,100.0,1000.0,2000.0
126,126.0,0.8881780828640404,0.1,0.8,0.2,100.0,1000.0,2000.0
127,127.0,0.8881780828640404,0.1,0.8,0.2,100.0,1000.0,2000.0
128,128.0,0.8881780828640404,0.1,0.8,0.2,100.0,1000.0,2000.0
129,129.0,0.8882065013688698,0.1,0.8,0.2,100.0,1000.0,2000.0
130,130.0,0.8882065013688698,0.1,0.8,0.2,100.0,1000.0,2000.0
131,131.0,0.8882065013688698,0.1,0.8,0.2,100.0,1000.0,2000.0
132,132.0,0.8882065013688698,0.1,0.8,0.2,100.0,1000.0,2000.0
133,133.0,0.8882911425954292,0.1,0.8,0.2,100.0,1000.0,2000.0
134,134.0,0.8883761930802501,0.1,0.8,0.2,100.0,1000.0,2000.0
135,135.0,0.8883761930802501,0.1,0.8,0.2,100.0,1000.0,2000.0
136,136.0,0.8883761930802501,0.1,0.8,0.2,100.0,1000.0,2000.0
137,137.0,0.8885437827032917,0.1,0.8,0.2,100.0,1000.0,2000.0
138,138.0,0.8885437827032917,0.1,0.8,0.2,100.0,1000.0,2000.0
139,139.0,0.8885437827032917,0.1,0.8,0.2,100.0,1000.0,2000.0
140,140.0,0.8885437827032917,0.1,0.8,0.2,100.0,1000.0,2000.0
141,141.0,0.8885437827032917,0.1,0.8,0.2,100.0,1000.0,2000.0
142,142.0,0.8886171054700661,0.1,0.8,0.2,100.0,1000.0,2000.0
143,143.0,0.8886171054700661,0.1,0.8,0.2,100.0,1000.0,2000.0
144,144.0,0.8886171054700661,0.1,0.8,0.2,100.0,1000.0,2000.0
145,145.0,0.8886171054700661,0.1,0.8,0.2,100.0,1000.0,2000.0
146,146.0,0.8889904152688355,0.1,0.8,0.2,100.0,1000.0,2000.0
147,147.0,0.8889904152688355,0.1,0.8,0.2,100.0,1000.0,2000.0
148,148.0,0.8890512006292552,0.1,0.8,0.2,100.0,1000.0,2000.0
149,149.0,0.8890512006292552,0.1,0.8,0.2,100.0,1000.0,2000.0
150,150.0,0.8891754252108811,0.1,0.8,0.2,100.0,1000.0,2000.0
