,x,y,area,radius
0,560449.6049394227,547306.271795603,1991.6354274258051,25.178507625026416
1,562640.402177327,546581.2860052739,1083.5646877683582,18.57173531031284
2,561814.350751688,545901.9674214788,1007.5169950338867,17.908171878153038
3,563596.6204274085,545981.2626783384,1039.8030126366293,18.19284415933716
4,560608.8847006883,546344.4198837809,1095.0199849253652,18.669646134047888
5,562114.058754973,545765.6257548422,1028.4561625756837,18.09330716188956
6,563292.1013557987,545050.6058853386,1169.173866360856,19.29143852413258
7,562942.4414725875,545665.8438432461,1010.1423656722368,17.931489102875833
8,561811.0791728479,546894.8929633881,1064.4636626736142,18.407316678767145
9,561807.5519340765,547571.5440010857,1907.2730938963164,24.63947810810007
10,562137.2259214319,545142.4130564169,1958.190355267119,24.96620413902108
11,561940.1438132795,546733.5886109882,1151.3254198073296,19.143622001579953
12,562319.6887810071,546033.1389255539,1127.9460517883406,18.94825531193315
13,561462.1827760366,545611.4236201396,1000.7267275526818,17.847722844900172
14,562303.8696931795,545884.4284403544,1271.860693068221,20.120781109394898
15,561198.8000104877,546436.840390336,1037.2114869889067,18.170158787747543
16,562860.249416096,547079.8389356446,1945.1124971503286,24.882695544948298
17,561321.0875462771,547472.7684872133,1011.7313759116411,17.94558717665723
18,563510.5409955061,547050.4317250405,1045.079072125199,18.23894186901295
19,562952.1432492934,544855.9932120139,1182.2875456450802,19.399325093693303
20,561152.9056259574,547329.1327622524,1001.8331627626894,17.85758662345331
21,562669.4047221954,545110.118993652,1953.9094500183955,24.938899226886267
22,560640.7758729223,546458.4429377328,1969.6939140199763,25.039429817561818
23,560675.4253533354,546782.6763163815,1088.3066918780244,18.612328688929598
24,563137.1724243371,547467.0136156928,1943.6071443288442,24.873065128715375
25,560534.555233769,545886.2732702984,1005.9029128963928,17.89382132793312
26,563394.2474323368,545582.2092581132,1044.5509735459225,18.23433304243866
27,561280.4015280162,545487.1035052489,1079.7163598788234,18.53872680697909
28,560292.6148529988,545766.2896284279,1011.5721769651653,17.944175225305596
29,561753.4031541831,547244.9029712736,1001.592358626111,17.855440338362754
30,562376.8489457038,545605.409378312,1048.7242585699867,18.270722464741034
31,563400.5653247407,546428.5176587944,1031.4851747262787,18.119931803607574
32,562169.7642567187,547020.6927405676,1006.5886302499466,17.899919338610392
33,563307.5049200695,546175.4397668187,1018.8193271504491,18.00833873701585
34,561496.7865207641,547566.1912008671,1959.3410718865036,24.973538667706254
35,562967.6549997742,546277.3849259696,1974.5948326819066,25.070561550353812
36,563901.8510562966,544995.4131195253,1068.8466670649973,18.445174462210524
37,563169.1704368335,546054.7576629242,1042.3984752402102,18.21553567732413
38,563792.9797703213,545113.2400281767,1041.060956452243,18.20384559807904
39,561764.5182295908,546365.7948995508,1956.4474542376545,24.955090993281406
40,563089.4121145842,546934.0329639965,1055.840876967985,18.332609999011954
41,561932.9692034911,546589.0739587913,1034.1572164661343,18.143386284524755
42,562822.2040177176,546239.0473104496,1068.9551860221525,18.44611079870996
43,562504.8461847053,547403.7415136119,1056.4718969647713,18.338087394252156
44,563161.4144394987,546717.4806548659,1004.3344876481455,17.879865672139065
45,562410.2368006436,546131.6166736427,1273.251449881444,20.13177896002012
46,563390.791166792,544890.4703406644,1958.4216272251388,24.967678411536546
47,560984.746696867,546930.1139392017,1016.1714199909195,17.98492171349463
48,562391.1469735303,547277.7330162505,1994.1172372037363,25.194190417861346
49,561479.2162984865,545151.7004648588,1966.7080574150602,25.020443999108647
50,560270.9243947758,546440.7104443118,1047.1775449580575,18.25724418278456
51,563952.9039128771,547292.0062725663,1985.8800462572144,25.14210117509662
52,564085.2221839224,546750.6787540198,1990.915540242041,25.173956761224172
53,563681.9849686458,545150.2379456261,1874.4627719041068,24.42662546445065
54,560918.5685734785,546225.2063012888,1024.748214933272,18.06066132959844
55,561720.4736326827,545451.5069540329,1013.1858253294992,17.958481693719627
56,562285.0328110498,546677.1015188361,1012.7505982729887,17.954624130536427
57,562380.643374253,546303.269265124,1127.4896005359142,18.94442098402573
58,561351.5911617668,546275.6356603089,1047.6898747205403,18.261709798871657
59,561270.4863045331,546722.3830492978,1994.7032182692997,25.197891863759985
60,560901.8001108817,545106.4427204931,1010.9699962978816,17.938833419618067
61,564069.0688447045,547106.6442753881,1186.2262550953683,19.431611982736555
62,563027.2845476578,545440.6383487241,1147.465511140791,19.111504813882405
63,561591.4952937751,545033.1440722814,1086.9589238731992,18.6008002877439
64,560915.092025645,545486.5507224799,1958.6668207828043,24.969241333996145
65,561425.3497372624,547294.9531132027,1021.8157866189001,18.034801544221732
66,562997.6096297274,545012.8683459903,1041.6993303205422,18.209426000620194
67,561483.1701320851,546970.7168646033,1062.523866606037,18.390536997242055
68,562084.2178186725,546372.6892250194,1010.6809592472592,17.936268873601318
69,560700.509047339,545733.0612171202,1000.3019394215912,17.843934445259315
70,561952.0474052525,547224.9145690959,1059.0916280120994,18.360809774373703
71,563435.7417488598,547258.7222968069,1006.5182588041237,17.899293628572266
72,561118.5019410276,546677.484030213,1060.4626058034385,18.372689823633845
73,563232.6686806434,545364.1715645108,1007.1490358218354,17.90490142286639
74,562971.6873200826,547270.2270667622,1043.7762364141802,18.22756964091327
75,563442.8961219243,545887.0867217715,1031.9373297291284,18.12390283506518
76,560373.8962527354,547018.1372120666,1001.5755938999507,17.855290904904233
77,561716.5880022126,545961.0519647223,1940.5565795118637,24.85353785595981
78,563689.4028190103,546933.4949334511,1976.941575623949,25.085454907752084
79,562165.9922592823,545020.2568365958,1004.1720875413987,17.878420033499665
80,561012.9068547599,545852.801978641,1078.4244168324265,18.52763215793509
