,x,y,area,radius
0,561749.699721921,545816.4417356696,1007.2446897687055,17.905751661393726
1,561056.8347164922,547106.2415262145,1123.6713036974857,18.912315690785682
2,562343.4883574992,547458.4121805588,1026.445796999899,18.075614645617673
3,563029.8933658225,546815.3741720797,1055.032722189134,18.325592643082462
4,561243.1561502613,547027.2309760811,1060.0350778200527,18.368985953822456
5,560952.1364431403,546390.2611719471,1007.4579984745693,17.907647551518032
6,560760.0326649874,545057.5719459007,1961.335590318814,24.9862463872147
7,563499.9390734714,547240.3077793573,1115.3804969439768,18.842415955334847
8,562474.7956004282,547300.723931467,1047.5006568115891,18.26006064741141
9,563744.9196684619,545571.1741695098,1039.8250785457167,18.19303719566742
10,561871.5325168642,545594.6431118341,1000.2302300560932,17.84329483830668
11,560651.0023271214,546161.5113852565,1012.5168826802633,17.952552288884196
12,560243.9765395843,547017.9851737218,1927.1352283569486,24.767442241763153
13,562357.0558775148,545066.2898160153,1112.9162202679884,18.821589608893238
14,561715.8355128658,547400.1308977528,1018.5553983294775,18.00600602338402
15,563633.3783300437,545352.271944892,1005.0367998620848,17.88611610648386
16,560925.2028606988,546117.9594539622,1997.1980911440046,25.213645057359955
17,562298.058638742,546085.8668850044,1034.7139181231908,18.148269049983167
18,561343.6146959284,547349.0025670164,1995.2097197070552,25.201090825453285
19,560598.0229523507,546897.8592089589,1936.9338366922468,24.830328010379606
20,562048.961046296,545179.7507106059,1023.1272174783409,18.046371052016777
21,563117.1101523458,545735.994991307,1051.181287984856,18.292112948945782
22,563813.7422628187,546332.5444874146,1007.515335663861,17.90815713086043
23,562433.1600873523,545398.2613822818,1034.8534376969667,18.14949255406955
24,561921.2041171452,544863.9466831366,1784.0079968387263,23.82996815828144
25,563537.0043313805,545424.8306578546,1014.8347945520851,17.97308954935753
26,563177.421510346,545578.5897147687,1949.0929225008722,24.90814216923624
27,564082.0120796334,545926.1597530243,1991.7266480182705,25.179084229572737
28,560487.7142576065,547097.9266192972,1982.1860399636498,25.11870643118248
29,560500.596144302,546062.38167254,1048.4950563728155,18.268725791863485
30,562903.4269183868,547287.0817152321,1043.9071085897424,18.228712322093706
31,563269.3821408944,545084.7557280511,1083.7372131595544,18.57321374921304
32,560693.0752293601,546270.8879652892,1102.1939466087736,18.730702861812254
33,562236.8612666532,545577.6382044737,1931.9161633108129,24.79814537541246
34,562192.3139034375,547198.7894877827,1003.6018778927418,17.87334326660452
35,562035.2514785393,545296.790736351,1033.8491734689674,18.140683910429427
36,562648.7317240536,546479.5437963695,1145.961000384156,19.09897158496613
37,560818.1289130325,547190.7647247586,1123.124036175327,18.907709647793094
38,562195.0453235791,546901.0580880012,1943.4661736259313,24.872163085041826
39,561302.3676317531,544850.4740546717,1177.5455660420682,19.360382101164173
40,560465.365227103,545717.3723622878,1994.2340082882592,25.194928065030876
41,560395.5219304356,546410.0972067789,1978.2048104516266,25.09346823504245
42,561338.9545509004,546069.4571940058,1005.8294753764064,17.89316813276413
43,563772.7272937055,545970.5305770343,1110.5229258916977,18.801341073047862
44,563523.4394229017,546885.4290699576,1926.268738309429,24.761873573109696
45,562970.7234037016,545692.9328147375,1029.8665721539712,18.10570935828865
46,562641.8025755854,547365.8040306227,1993.224493697856,25.18855021091346
47,563380.5666845212,544991.1722986571,1022.3330545903874,18.039365793968294
48,560998.3143025105,545794.9509969479,1013.186476097416,17.95848746107323
49,561381.3518493322,546901.3465337033,1064.7614496086626,18.40989125002702
50,560275.1413851838,545366.0104789285,1059.654129548544,18.365684995958652
51,560690.9597605596,545551.7025808404,1986.6110656883045,25.146728260565098
52,562990.6408399829,544883.4893569429,1042.7200716760499,18.218345351232024
53,563819.5424202849,545771.3459782015,1064.5271352188895,18.407865472430025
54,562813.3852665619,546997.216855317,1051.70255326863,18.296647781223196
